"2017-08-10 16:05:49",A32-1855/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ JUSTINIŠKIŲ SEN. PATIKRINIMO AKTAS 2017.08.10","Files/Justiniškių/2017/08/10/47183458/Laisvės pr. 68.jpg"
"2017-08-10 13:17:52",A32-1847/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS ATLIEKŲ KONTEINERIŲ IR JŲ PASTATYMO VIETŲ BŪKLĖS ĮVERTINIMO 2017-08-09 AKTAS","Files/Justiniškių/2017/08/10/47179406/Viršuliškių seniūnijos atliekų konteinerių ir jų pastatymo  būklės įvertinimo aktas 2017-08-09d..pdf"
"2017-08-10 11:13:00",A32-1846/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS 2017-08-09 D. TERITORIJOS PATIKRINIMO AKTAS","Files/Justiniškių/2017/08/10/47177800/Viršuliškių seniūnijos teritorijos 2017-08-09 d. patikrinimo aktas.pdf"
"2017-08-07 10:11:57",A32-1820/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS TERITORIJOS 2017-08-04 PATIKRINIMO AKTAS","Files/Justiniškių/2017/08/07/47140109/Viršuliškių seniūnijos 2017-08-03 patikrinimo aktas.pdf"
"2017-08-07 08:36:06",A32-1817/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ  VIRŠULIŠKIŲ SENIŪNIJOJE 207-08-03
 PATIKRINIMO AKTAS","Files/Justiniškių/2017/08/07/47138034/Komun. atliekų ir antrinių žaliavų konteinerių aikštelių Viršuliškių sen. 2017-078-03 patikrinimo aktas.pdf"
"2017-08-03 15:24:55",A32-1778/17(2.1.15-S4),Justiniškių,"TERITORIJOS PATIKRINIMO AKTAS 2017.08.03","Files/Justiniškių/2017/08/03/47120509/Teritorijos patikrinimo aktas Nr.1.pdf"
"2017-08-03 12:54:53",A32-1770/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ JUSTINIŠKIŲ SEN. PATIKRINIMO AKTAS 2017.08.03","Files/Justiniškių/2017/08/03/47117762/Konteinerių aikštelių patikrinimo aktas Nr. 4.pdf"
"2017-07-28 13:09:10",A32-1650/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ VIRŠULIŠKIŲ SENIŪNIJOJE 2017-07-27 D. PATIKRINIMO AKTAS.","Files/Justiniškių/2017/07/28/47063817/Komunalinių atliekų ir antrinių žaliavų konteinerių aikštelių Viršuliškių seniūnijoje 2017-07-27 d. patikrinimo aktas.pdf"
"2017-07-27 16:11:25",A32-1634/17(2.1.15-S4),Justiniškių,"TERITORIJOS PATIKRINIMO AKTAS 2017.07.27","Files/Justiniškių/2017/07/27/47055894/Teritorijos patikrinimo aktas Nr.1.pdf"
"2017-07-27 15:34:28",A32-1632/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ JUSTINIŠKIŲ SEN. PATIKRINIMO AKTAS 2017.07.27","Files/Justiniškių/2017/07/27/47055005/Konteinerių aikštelių patikrinimo aktas Nr. 4.pdf"
